"Feature,Importance"
"count,0.2031339054224945"
"slow,0.16468526384316626"
"occupancy,0.1463060528106934"
"occ_lag1,0.10991138277338311"
"duration,0.07250342623600614"
"volume,0.05278485326480127"
"occ_roll24,0.04909758937388299"
"dur_lag1,0.03844526333776631"
"occ_lag24,0.024780172610559065"
"vol_lag1,0.0213194155296075"
"dur_roll24,0.021240221949892273"
"fast,0.020986411189181133"
"longitude,0.01992685775015705"
"vol_roll24,0.015450324641955391"
"latitude,0.014611528588303304"
"price,0.011038282800674157"
"vol_lag24,0.008128344669358486"
"dur_lag24,0.005377344091829523"
"hour,0.0001336733823564255"
"weekday,0.0001120902283799266"
"is_weekend,2.7595505551817944e-05"
